index;Question;Option A;Option B;Option C;Option D;Answer
114;At what time between 4 and 5 o'clock will the hands of a watch point in opposite directions?;45 min past 4;40 min past 4;50.4 min past 4;54.6 min past 4;D
115;A 12% stock yielding 10% is quoted at:;Rs. 83.33;Rs. 110;Rs. 112;Rs. 120;D
116;In how many different ways can the letters of the word 'DETAIL' be arranged in such a way that the vowels occupy only the odd positions?;32;48;36;60;C
117;An observer 1.6 m tall is 203 m away from a tower. The angle of elevation from his eye to the top of the tower is 30º. The height of the tower is:;21.6 m;23.2 m;24.72 m;None of these;A
118;Find the odd one out: 1, 4, 9, 16, 23, 25, 36;9;23;25;36;B
119;Let N be the greatest number that will divide 1305, 4665, and 6905, leaving the same remainder in each case. The sum of the digits in N is:;4;5;6;8;A
120;The average weight of 8 persons increases by 2.5 kg when a new person comes in place of one of them weighing 65 kg. What might be the weight of the new person?;76 kg;76.5 kg;85 kg;Data inadequate;C
121;The difference between a two-digit number and the number obtained by interchanging the digits is 36. What is the difference between the sum and the difference of the digits of the number if the ratio between the digits of the number is 1:2?;4;8;16;None of these;B
122;The sum of the present ages of a father and his son is 60 years. Six years ago, the father's age was five times the son's age. After 6 years, the son's age will be:;12 years;14 years;18 years;20 years;D
123;Three candidates contested an election and received 1136, 7636, and 11628 votes, respectively. What percentage of the total votes did the winning candidate get?;57%;60%;65%;90%;A
124;In a certain store, the profit is 320% of the cost. If the cost increases by 25% but the selling price remains constant, approximately what percentage of the selling price is the profit?;30%;70%;100%;250%;B
125;If the cost of x meters of wire is d rupees, then what is the cost of y meters of wire at the same rate?;Rs. (xy/d);Rs. (xd);Rs. (yd);Rs. (yd/x);D
126;A flagstaff 17.5 m high casts a shadow of length 40.25 m. The height of a building, which casts a shadow of length 28.75 m under similar conditions, will be:;10 m;12.5 m;17.5 m;21.25 m;B
127;In how many days can 10 women finish a work? I. 10 men can complete the work in 6 days. II. 10 men and 10 women together can complete the work in 3 3/7 days. III. If 10 men work for 3 days and then 10 women replace them, the remaining work is completed in 4 days.;Any two of the three;I and II only;II and III only;I and III only;A
128;8 men and 14 women are working together in a field. After 3 days, 5 men and 8 women leave. How many more days will be required to complete the work? I. 19 men and 12 women together can complete the work in 18 days. II. 16 men can complete two-thirds of the work in 16 days. III. In 1 day, the work done by three men is equal to the work done by four women.;I only;II only;III only;I, II, or III;D
129;A towel, when bleached, was found to have lost 20% of its length and 10% of its breadth. The percentage decrease in area is:;10%;10.08%;20%;28%;D
130;What is the capacity of a cylindrical tank? I. Radius of the base is half of its height which is 28 metres. II. Area of the base is 616 sq. metres and its height is 28 metres.;I alone sufficient while II alone not sufficient;II alone sufficient while I alone not sufficient;Either I or II alone sufficient to answer;Both I and II are not sufficient;C
131;In a 100 m race, A covers the distance in 36 seconds and B in 45 seconds. In this race, A beats B by:;20 m;25 m;22.5 m;9 m;A
132;A 6% stock yields 8%. The market value of the stock is:;Rs. 48;Rs. 75;Rs. 96;Rs. 133.33;B
133;A box contains 2 white balls, 3 black balls, and 4 red balls. In how many ways can 3 balls be drawn from the box, if at least one black ball is to be included in the draw?;32;48;64;96;C
134;If Rs. 10 is allowed as true discount on a bill of Rs. 110 due at the end of a certain time, then the discount allowed on the same sum due at the end of double the time is:;Rs. 20;Rs. 21.81;Rs. 22;Rs. 18.33;D
135;10, 14, 16, 18, 21, 24, 26 – find the odd one out.;26;24;21;18;C
136;835, 734, 642, 751, 853, 981, 532 – find the odd one out.;751;853;981;532;A
137;1, 2, 6, 15, 31, 56, 91 – find the wrong number in the sequence.;31;91;56;15;B
138;7, 26, 63, 124, 215, 342 – find the next number in the series.;481;511;391;421;B
139;Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively and they cross each other in 23 seconds. The ratio of their speeds is:;1:3;3:2;3:4;None of these;B
140;A train overtakes two persons walking along a railway track. The first one walks at 4.5 km/hr, and the other at 5.4 km/hr. The train needs 8.4 and 8.5 seconds respectively to overtake them. What is the speed of the train if both the persons are walking in the same direction as the train?;66 km/hr;72 km/hr;78 km/hr;81 km/hr;D
141;A runs 1.5 times as fast as B. If A gives B a start of 80 m, how far must the winning post be so that A and B might reach it at the same time?;200 m;300 m;270 m;160 m;A
142;Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years, what is definitely the difference between R and Q's age?;1 year;2 years;25 years;Data inadequate;D
143;The value of log2 16 is:;1/8;4;8;16;B
144;In a two-digit number, it is known that its unit’s digit exceeds its ten’s digit by 2 and that the product of the given number and the sum of its digits is equal to 144. The number is:;24;26;42;46;A
145;The square root of 64009 is:;253;347;363;803;A
146;What should come in place of both 'x' in the equation x/128 = 162/x?;12;14;144;196;A
147;A, B, and C can do a piece of work in 20, 30, and 60 days respectively. In how many days can A do the work if he is assisted by B and C on every third day?;12 days;15 days;16 days;18 days;B
148;The value of 489.1375 × 0.0483 × 1.956 is closest to:;0.006;0.06;0.6;6;B
149;Three numbers are in the ratio of 3:4:5, and their LCM is 2400. Their HCF is:;40;80;120;200;A
150;Which of the following fractions is the largest?;7/8;13/16;31/40;63/80;A
151;A sum of Rs. 725 is lent at the beginning of a year at a certain rate of interest. After 8 months, a sum of Rs. 362.50 more is lent, but at double the previous rate. At the end of the year, Rs. 33.50 is earned as interest from both loans. What was the original rate of interest?;3.60%;4.50%;5%;None of these;D
152;An accurate clock shows 8 o'clock in the morning. Through how many degrees will the hour hand rotate when the clock shows 2 o'clock in the afternoon?;144º;150º;168º;180º;D
153;From a group of 7 men and 6 women, five persons are to be selected to form a committee so that at least 3 men are on the committee. In how many ways can it be done?;564;645;735;756;D
154;A dishonest milkman professes to sell his milk at cost price but he mixes it with water and thereby gains 25%. The percentage of water in the mixture is:;4%;6%;20%;25%;C
155;A vessel is filled with liquid, 3 parts of which are water and 5 parts syrup. How much of the mixture must be drawn off and replaced with water so that the mixture may be half water and half syrup?;1/3;1/4;1/5;1/6;C
156;The cost price of Rs. 100 stock at 4% discount, when brokerage is 1/4%, is:;Rs. 95.75;Rs. 96;Rs. 96.25;Rs. 104.25;C
157;If 40% of a number is equal to two-third of another number, what is the ratio of the first number to the second number?;02:05;03:07;05:03;07:03;C
158;In a bag, there are coins of 25 p, 10 p, and 5 p in the ratio of 1 : 2 : 3. If there is Rs. 30 in all, how many 5 p coins are there?;50;100;150;200;C
159;A man takes loan from a bank at 12% p.a. simple interest. After 3 years, he paid Rs. 5400 as interest. What was the principal amount?;Rs. 2000;Rs. 10,000;Rs. 15,000;Rs. 20,000;C
160;A flagstaff 17.5 m high casts a shadow 40.25 m long. What is the height of a building that casts a shadow 28.75 m long under similar conditions?;10 m;12.5 m;17.5 m;21.25 m;B
161;The reflex angle between the hands of a clock at 10:25 is:;180º;192 ½º;195º;197 ½º;D
162;The diagonal of a rectangle is 41 cm, and its area is 20 cm². What is the perimeter of the rectangle?;9 cm;18 cm;20 cm;41 cm;B
163;A, B, and C can complete a task in 24, 6, and 12 days respectively. How many days will they take to finish the task if working together?;1 day;7/24 day;3 3/7 days;4 days;C
164;A train overtakes two persons walking along a railway track. The first one walks at 4.5 km/hr, and the other one at 5.4 km/hr. The train needs 8.4 and 8.5 seconds respectively to overtake them. What is the speed of the train?;66 km/hr;72 km/hr;78 km/hr;81 km/hr;D
165;A train of 240 meters long passes a pole in 24 seconds. How long will it take to pass a platform 650 meters long?;65 sec;89 sec;100 sec;150 sec;B
166;How many seconds will a 500-meter-long train take to cross a man walking with a speed of 3 km/hr in the direction of the moving train if the speed of the train is 63 km/hr?;25 sec;30 sec;40 sec;45 sec;B
167;In a 500 m race, the ratio of the speeds of two contestants A and B is 3 : 4. A has a start of 140 m. Then, A wins by:;60 m;40 m;20 m;10 m;C
168;A boatman goes 2 km against the current of the stream in 1 hour and goes 1 km along the current in 10 minutes. How long will it take to go 5 km in stationary water?;40 minutes;1 hour;1 hr 15 min;1 hr 30 min;C
169;Two goods trains each 500 m long are running in opposite directions on parallel tracks at 45 km/hr and 30 km/hr, respectively. The time taken by the slower train to pass the driver of the faster one is:;12 sec;24 sec;48 sec;60 sec;B
170;A man sells two buffaloes for Rs. 7,820 each. On one he gains 15% and on the other, he loses 15%. His total gain or loss in the transaction is;2.5% gain;2.25% loss;2% loss;5% loss;B
171;One ship goes along the stream direction 28 km and in opposite direction 13 km in 5 hrs for each direction. What is the velocity of the stream?;1.5 kmph;2.5 kmph;1.8 kmph;2 kmph;A
172;Which one of the words given below is different from others?;Orange;Grape;Apricot;Raspberry;C
173;Complete the series: 5, 20, 24, 6, 2, 8, ?;12;32;34;36;A
174;A can have a piece of work done in 8 days, B can work three times faster than A, C can work five times faster than A. How many days will they take to do the work together?;3 days;8/9 days;4 days;None of the above;B
175;A sum of Rs. 427 is to be divided among A, B, and C in such a way that 3 times A's share, 4 times B's share, and 7 times C's share are all equal. The share of C is;Rs. 84;Rs. 76;Rs. 98;Rs. 34;A
176;In a race of 200 m, A can beat B by 31 m and C by 18 m. In a race of 350 m, C will beat B by;22.75 m;25 m;19.5 m;7;A
177;A man took a loan from a bank at the rate of 12% p.a. simple interest. After 3 years, he had to pay Rs. 5400 as interest only for the period. The principal amount borrowed by him was;Rs. 2000;Rs. 10,000;Rs. 15,000;Rs. 20,000;C
178;A man walked diagonally across a square lot. Approximately, what was the percent saved by not walking along the edges?;20%;24%;30%;33%;C
179;How much time will the leak take to empty the full cistern? (I. The cistern is normally filled in 9 hours. II. It takes one hour more than usual to fill the cistern because of the leak.);I alone sufficient;II alone sufficient;Either I or II alone;Both I and II are necessary;D
180;A metallic sheet is of rectangular shape with dimensions 48 m x 36 m. From each of its corners, a square is cut off to make an open box. If the length of the square is 8 m, the volume of the box is:;4830 m³;5120 m³;6420 m³;8960 m³;B
181;A man takes loan from a bank at 12% p.a. simple interest. After 3 years, he paid Rs. 5400 as interest. What was the principal amount?;Rs. 2000;Rs. 10,000;Rs. 15,000;Rs. 20,000;C
182;A flagstaff 17.5 m high casts a shadow 40.25 m long. What is the height of a building that casts a shadow 28.75 m long under similar conditions?;10 m;12.5 m;17.5 m;21.25 m;B
183;The reflex angle between the hands of a clock at 10:25 is:;180º;192.5º;195º;197.5º;D
184;The diagonal of a rectangle is 41 cm, and its area is 20 cm². What is the perimeter of the rectangle?;9 cm;18 cm;20 cm;41 cm;B
185;A, B, and C can complete a task in 24, 6, and 12 days respectively. How many days will they take to finish the task if working together?;1 day;7/24 day;3 3/7 days;4 days;C
186;Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively, and they cross each other in 23 seconds. The ratio of their speeds is:;1:3;3:2;3:4;None of these;B
187;A train overtakes two persons walking along a railway track. The first one walks at 4.5 km/hr, and the other one at 5.4 km/hr. The train needs 8.4 and 8.5 seconds respectively to overtake them. What is the speed of the train?;66 km/hr;72 km/hr;78 km/hr;81 km/hr;D
188;A train of 240 meters long passes a pole in 24 seconds. How long will it take to pass a platform 650 meters long?;65 sec;89 sec;100 sec;150 sec;B
189;How many seconds will a 500-meter-long train take to cross a man walking with a speed of 3 km/hr in the direction of the moving train if the speed of the train is 63 km/hr?;25 sec;30 sec;40 sec;45 sec;B
190;In a 500 m race, the ratio of the speeds of two contestants A and B is 3 : 4. A has a start of 140 m. Then, A wins by:;60 m;40 m;20 m;10 m;C
191;The reflex angle between the hands of a clock at 10:25 is:;180º;192.5º;195º;197.5º;D
192;The cost price of Rs. 100 stock at 4% discount, when brokerage is 1/4%, is:;Rs. 96;Rs. 96.25;Rs. 96.50;Rs. 97;C
193;Three candidates contested an election and received 1136, 7636, and 11628 votes respectively. What percentage of the total votes did the winning candidate get?;57%;60%;65%;90%;A
194;A man buys a watch for Rs. 1950 in cash and sells it for Rs. 2200 at a credit of 1 year. If the rate of interest is 10% per annum, the man:;gains Rs. 55;gains Rs. 50;loses Rs. 30;gains Rs. 30;B
195;An error of 2% in excess is made while measuring the side of a square. The percentage of error in the calculated area is:;2%;2.02%;4%;4.04%;D
196;In a shower, 5 cm of rain falls. The volume of water that falls on 1.5 hectares of ground is:;75 cu. m;750 cu. m;7500 cu. m;75000 cu. m;B
197;The ratio between the length and breadth of a rectangular park is 3:2. If a man cycling along the boundary at 12 km/hr completes one round in 8 minutes, the area of the park is:;15360 sq. m;153600 sq. m;30720 sq. m;307200 sq. m;B
198;The slant height of a right circular cone is 10 m and its height is 8 m. Find the area of its curved surface:;30 m²;40 m²;60 m²;80 m²;C
199;If 40% of a number is equal to two-third of another number, what is the ratio of the first number to the second number?;02:05;03:07;05:03;07:03;C
200;In a bag, there are coins of 25 p, 10 p, and 5 p in the ratio of 1 : 2 : 3. If there is Rs. 30 in all, how many 5 p coins are there?;50;100;150;200;C
201;A boatman goes 2 km against the current of the stream in 1 hour and goes 1 km along the current in 10 minutes. How long will it take to go 5 km in stationary water?;40 minutes;1 hour;1 hr 15 min;1 hr 30 min;C
202;Two goods trains each 500 m long are running in opposite directions on parallel tracks at 45 km/hr and 30 km/hr, respectively. The time taken by the slower train to pass the driver of the faster one is:;12 sec;24 sec;48 sec;60 sec;B
203;A man sells two buffaloes for Rs. 7,820 each. On one he gains 15% and on the other, he loses 15%. His total gain or loss in the transaction is:;2.5% gain;2.25% loss;2% loss;5% loss;B
204;A metallic sheet is of rectangular shape with dimensions 48 m x 36 m. From each of its corners, a square is cut off to make an open box. If the length of the square is 8 m, the volume of the box is:;4830 m³;5120 m³;6420 m³;8960 m³;B
205;The cost price of Rs. 100 stock at 4% discount, when brokerage is 1/4%, is:;Rs. 96;Rs. 96.25;Rs. 96.50;Rs. 97;C
206;Three candidates contested an election and received 1136, 7636, and 11628 votes respectively. What percentage of the total votes did the winning candidate get?;57%;60%;65%;90%;A
207;A man buys a watch for Rs. 1950 in cash and sells it for Rs. 2200 at a credit of 1 year. If the rate of interest is 10% per annum, the man:;gains Rs. 55;gains Rs. 50;loses Rs. 30;gains Rs. 30;B
208;An error of 2% in excess is made while measuring the side of a square. The percentage of error in the calculated area is:;2%;2.02%;4%;4.04%;D
209;In a shower, 5 cm of rain falls. The volume of water that falls on 1.5 hectares of ground is:;75 cu. m;750 cu. m;7500 cu. m;75000 cu. m;B
210;The ratio between the length and breadth of a rectangular park is 3:2. If a man cycling along the boundary at 12 km/hr completes one round in 8 minutes, the area of the park is:;15360 sq. m;153600 sq. m;30720 sq. m;307200 sq. m;B
211;The slant height of a right circular cone is 10 m and its height is 8 m. Find the area of its curved surface:;30 m²;40 m²;60 m²;80 m²;C
212;A man wants to sell his scooter. There are two offers, one at Rs. 12,000 cash and the other a credit of Rs. 12,880 to be paid after 8 months, money being at 18% per annum. Which is the better offer?;Rs. 12,000 in cash;Rs. 12,880 at credit;Both are equally good;NIL;A
213;A man standing at a point P is watching the top of a tower, which makes an angle of elevation of 30º with the man's eye. The man walks some distance towards the tower to watch its top and the angle of the elevation becomes 60º. What is the distance between the base of the tower and the point P?;43 units;8 units;12 units;Data inadequate;D
214;In how many different ways can the letters of the word 'DETAIL' be arranged in such a way that the vowels occupy only the odd positions?;32;48;36;60;C
215;Two dice are tossed. The probability that the total score is a prime number is:;1;5/12;1/2;7/9;B
216;An observer 1.6 m tall is 203 m away from a tower. The angle of elevation from his eye to the top of the tower is 30º. The height of the tower is:;21.6 m;23.2 m;24.72 m;None of these;A
217;The cost price of a Rs. 100 stock at 4% discount, when brokerage is 1/4%, is:;Rs. 95.75;Rs. 96;Rs. 96.25;Rs. 104.25;C
218;If 40% of a number is equal to two-thirds of another number, what is the ratio of the first number to the second number?;2:5;3:7;5:3;7:3;C
219;In a bag, there are coins of 25 p, 10 p, and 5 p in the ratio of 1:2:3. If there is Rs. 30 in all, how many 5 p coins are there?;50;100;150;200;C
220;A fires 5 shots to B's 3, but A kills only once in 3 shots while B kills once in 2 shots. When B has missed 27 times, A has killed:;30 birds;60 birds;72 birds;90 birds;A
221;A train covers a certain distance at a speed of 300 km/hr, and the same distance at 200 km/hr. Find the average speed of the train:;240 km/hr;225 km/hr;250 km/hr;275 km/hr;A
222;Two students appeared at an examination. One of them secured 9 marks more than the other, and his marks were 56% of the sum of their marks. What are the marks obtained by them?;42, 33;42, 36;44, 33;44, 36;A
223;Two trains are running in opposite directions at 60 km/hr and 90 km/hr. If the length of each train is 500 m, how long will it take for the trains to cross each other?;20 sec;25 sec;30 sec;35 sec;A
224;A certain amount earns simple interest of Rs. 1200 after 10 years. Had the interest been 2% more, how much more interest would it have earned?;Rs. 25;None of these;Rs. 120;Cannot be determined;C
225;A man took a loan from a bank at the rate of 8% p.a. simple interest. After 4 years he had to pay Rs. 6200 as interest only for the period. The principal amount borrowed by him was:;Rs. 17322;Rs. 20245;Rs. 18230;Rs. 19375;C
226;A and B can do a piece of work in 45 days and 40 days, respectively. They began to work together, but A leaves after some days and B completes the remaining work in 23 days. After how many days did A leave?;9;11;12;15;A
227;The sum of ages of 5 children born at intervals of 3 years each is 50 years. What is the age of the youngest child?;4 years;8 years;10 years;None of these;A
228;"A father said to his son, ""I was as old as you are at the present at the time of your birth"". If the father's age is 38 years now, the son's age five years back was:";14 years;19 years;33 years;38 years;A
229;A sum of Rs. 1360 has been divided among A, B, and C such that A gets 1/2 of what B gets, and B gets 1/3 of what C gets. B's share is:;Rs. 120;Rs. 160;Rs. 240;Rs. 300;C
230;A man can swim downstream at 6 km/hr and upstream at 2 km/hr. His speed in still water is:;4 km/hr;2 km/hr;6 km/hr;1 km/hr;A
231;Robert is traveling on his cycle and has calculated to reach point A at 2 P.M. if he travels at 10 kmph, he will reach there at 12 noon if he travels at 15 kmph. At what speed must he travel to reach A at 1 P.M.?;8 kmph;11 kmph;12 kmph;14 kmph;C
232;A man rows to a place 48 km distant and comes back in 14 hours. He finds that he can row 4 km with the stream in the same time as 3 km against the stream. The rate of the stream is:;1 km/hr;1.5 km/hr;2 km/hr;2.5 km/hr;A
233;In what ratio must a grocer mix two varieties of pulses costing Rs. 15 and Rs. 20 per kg respectively so as to get a mixture worth Rs. 16.50 per kg?;3:7;5:7;7:3;7:5;C
234;A, B, and C can do a piece of work in 20, 30, and 60 days, respectively. In how many days can A do the work if he is assisted by B and C on every third day?;12 days;15 days;16 days;18 days;B
