cgpa,backlogs,certifications,aptitude,coding,communication,projects,hackathon,resume,branch,placement_readiness,company_fit
7.36,1,6,80,99,70,0,1,8,0,1,Tier 2
5.6,0,1,61,75,79,0,1,6,2,0,Not Eligible
8.57,2,3,68,83,92,0,1,9,0,1,Tier 1
8.8,1,9,53,77,95,4,1,1,2,1,Tier 1
7.81,2,9,87,58,69,0,1,1,2,1,Tier 2
8.85,1,5,67,81,81,5,0,5,5,1,Tier 1
7.47,4,2,60,40,46,3,1,6,5,1,Tier 2
7.61,4,8,84,62,88,6,1,8,4,1,Tier 2
7.14,0,3,71,94,99,3,1,3,2,1,Tier 2
5.13,0,9,45,67,46,4,0,6,3,0,Not Eligible
5.54,2,1,93,87,66,3,1,3,0,0,Not Eligible
5.16,1,5,40,43,63,3,1,8,5,0,Not Eligible
8.18,3,0,60,80,58,1,0,4,1,1,Tier 1
6.57,0,5,96,99,80,6,1,2,0,0,Not Eligible
7.54,3,9,43,57,95,6,0,9,4,1,Tier 2
9.54,3,0,42,88,73,0,0,10,4,1,Tier 1
6.25,1,7,88,86,61,5,1,8,2,0,Not Eligible
7.05,2,4,69,90,91,5,0,6,4,1,Tier 2
8.78,1,5,70,78,90,1,1,3,5,1,Tier 1
6.14,0,1,73,64,66,5,0,2,4,0,Not Eligible
5.38,3,1,58,57,45,1,1,4,0,0,Not Eligible
6.45,1,8,59,45,49,6,0,4,3,0,Not Eligible
5.81,1,2,62,58,84,6,0,1,3,0,Not Eligible
9.65,1,5,93,92,70,7,0,9,2,1,Tier 1
9.04,0,9,98,51,64,6,1,10,4,1,Tier 1
8.17,2,4,79,64,41,5,0,8,4,1,Tier 1
9.36,1,3,64,74,49,3,1,7,3,1,Tier 1
9.02,0,9,54,40,49,6,1,6,2,1,Tier 1
5.93,3,1,77,44,65,7,0,3,4,0,Not Eligible
9.46,4,7,62,40,44,2,1,4,2,1,Tier 1
7.7,0,9,91,47,61,0,1,2,5,1,Tier 2
9.04,4,6,41,78,43,2,0,7,0,1,Tier 1
9.48,1,1,96,86,94,3,1,2,5,1,Tier 1
6.59,1,5,96,82,73,4,1,10,4,0,Not Eligible
5.55,0,7,54,57,46,1,0,1,4,0,Not Eligible
6.14,4,6,91,85,89,7,0,6,4,0,Not Eligible
7.14,1,0,83,98,56,5,0,4,3,1,Tier 2
9.09,3,4,74,48,50,5,0,8,3,1,Tier 1
9.3,2,1,49,44,92,3,1,1,4,1,Tier 1
5.03,2,5,53,94,89,5,1,9,4,0,Not Eligible
7.55,1,6,66,43,47,3,1,6,0,1,Tier 2
7.09,4,6,93,83,67,7,0,2,0,1,Tier 2
6.11,1,2,53,68,99,2,1,8,2,0,Not Eligible
5.6,4,6,74,40,83,4,0,5,2,0,Not Eligible
6.69,3,4,72,69,95,1,1,5,3,0,Not Eligible
9.71,4,7,91,95,72,5,0,5,1,1,Tier 1
6.62,1,7,40,84,91,4,1,7,0,0,Not Eligible
7.59,3,6,73,40,64,4,1,7,2,1,Tier 2
8.52,0,5,58,42,60,4,0,10,0,1,Tier 1
6.82,2,1,63,61,51,0,1,7,0,0,Not Eligible
9.86,1,5,81,47,98,4,1,10,5,1,Tier 1
9.81,1,8,43,95,65,6,1,2,1,1,Tier 1
6.26,1,1,75,57,68,3,1,8,0,0,Not Eligible
7.49,3,0,52,64,77,0,0,1,5,1,Tier 2
6.5,0,4,97,87,74,6,1,2,1,0,Not Eligible
6.42,4,5,71,91,76,0,0,7,5,0,Not Eligible
5.18,0,2,48,59,85,4,0,4,5,0,Not Eligible
8.05,3,7,78,70,83,5,0,10,1,1,Tier 1
7.51,1,6,55,69,84,5,1,10,0,1,Tier 2
5.26,2,1,89,55,84,5,0,9,0,0,Not Eligible
6.39,1,6,42,41,68,5,0,9,2,0,Not Eligible
9.54,4,0,91,56,88,3,0,3,0,1,Tier 1
6.2,2,8,59,49,63,7,1,3,0,0,Not Eligible
5.72,1,6,49,46,98,5,1,9,0,0,Not Eligible
7.45,2,5,95,98,54,1,0,10,2,1,Tier 2
9.93,0,1,97,81,45,4,0,8,1,1,Tier 1
6.21,3,2,97,90,71,0,1,1,2,0,Not Eligible
8.36,1,0,61,91,83,1,0,6,0,1,Tier 1
8.81,4,9,87,98,73,5,1,7,4,1,Tier 1
6.19,0,4,42,48,75,1,0,8,0,0,Not Eligible
8.64,1,8,50,93,59,0,1,2,2,1,Tier 1
6.84,0,5,64,56,96,5,1,1,5,0,Not Eligible
8.16,4,4,81,48,96,1,1,4,5,1,Tier 1
8.17,1,2,87,48,92,3,0,1,2,1,Tier 1
7.68,4,4,47,76,51,3,0,2,3,1,Tier 2
5.45,2,7,48,63,74,4,1,3,5,0,Not Eligible
9.18,4,1,54,78,88,7,1,4,4,1,Tier 1
6.6,2,4,71,50,77,4,0,6,2,0,Not Eligible
5.93,1,5,92,47,95,6,1,8,5,0,Not Eligible
5.2,2,9,42,64,56,1,0,9,5,0,Not Eligible
7.95,1,7,43,85,66,0,1,4,1,1,Tier 2
8.39,1,7,69,41,56,3,1,1,0,1,Tier 1
5.08,3,4,52,49,50,2,0,5,5,0,Not Eligible
7.56,1,8,83,92,94,7,0,5,5,1,Tier 2
6.13,2,3,60,63,78,4,1,9,1,0,Not Eligible
8.23,3,8,80,87,41,6,0,6,2,1,Tier 1
5.87,3,6,96,55,90,3,1,5,2,0,Not Eligible
8.45,1,5,85,58,41,6,0,10,1,1,Tier 1
6.93,4,3,58,98,93,5,1,10,1,0,Not Eligible
9.68,4,1,78,70,68,1,0,5,3,1,Tier 1
5.69,3,7,87,50,84,6,0,8,0,0,Not Eligible
6.71,1,5,61,45,63,7,1,1,1,0,Not Eligible
5.57,4,2,59,45,63,3,1,5,0,0,Not Eligible
9.62,1,6,76,71,55,3,1,1,5,1,Tier 1
9.39,1,9,70,78,70,1,1,7,4,1,Tier 1
6.29,3,6,49,87,88,4,1,7,2,0,Not Eligible
8.3,3,5,57,52,82,4,1,10,1,1,Tier 1
9.09,0,1,82,98,48,2,0,8,4,1,Tier 1
7.78,4,7,78,42,66,7,1,7,2,1,Tier 2
7.65,4,0,85,95,95,2,1,9,3,1,Tier 2
6.21,4,0,59,95,80,4,1,8,2,0,Not Eligible
5.47,2,5,57,80,53,4,1,8,1,0,Not Eligible
9.49,1,4,50,95,84,7,0,3,4,1,Tier 1
9.5,3,8,61,74,64,6,1,10,4,1,Tier 1
8.17,4,6,98,77,82,7,1,4,4,1,Tier 1
6.7,0,1,83,96,83,4,0,4,2,0,Not Eligible
6.75,4,6,57,56,61,4,0,1,0,0,Not Eligible
8.63,1,2,97,42,74,3,1,6,0,1,Tier 1
9.49,1,0,73,73,72,2,0,2,2,1,Tier 1
9.44,3,7,62,51,66,1,1,9,1,1,Tier 1
8.9,2,2,40,63,79,7,0,1,2,1,Tier 1
8.21,3,7,94,45,65,0,0,1,0,1,Tier 1
5.42,4,6,49,81,58,1,0,10,2,0,Not Eligible
5.81,0,1,92,50,84,7,0,6,4,0,Not Eligible
9.49,3,0,40,87,78,5,0,1,1,1,Tier 1
8.03,2,6,77,66,84,7,1,3,1,1,Tier 1
5.05,3,0,78,87,65,0,1,10,3,0,Not Eligible
5.51,1,5,88,63,45,3,0,2,2,0,Not Eligible
8.32,4,9,48,57,42,5,0,9,5,1,Tier 1
5.03,4,9,70,66,45,2,0,5,5,0,Not Eligible
5.8,4,7,46,93,67,0,1,6,5,0,Not Eligible
7.74,4,6,56,94,42,4,1,2,4,1,Tier 2
8.46,4,3,74,95,52,5,1,8,5,1,Tier 1
8.26,4,0,87,80,52,3,0,6,2,1,Tier 1
6.12,0,0,76,60,96,7,1,8,3,0,Not Eligible
8.56,2,3,91,98,52,7,0,8,3,1,Tier 1
6.19,4,4,57,90,40,0,0,1,2,0,Not Eligible
6.63,2,6,72,73,79,4,0,7,5,0,Not Eligible
8.73,4,3,43,95,76,5,0,2,2,1,Tier 1
8.25,3,9,62,72,70,3,1,8,2,1,Tier 1
9.25,4,0,50,97,91,7,1,2,0,1,Tier 1
8.29,1,9,91,87,56,5,0,4,3,1,Tier 1
7.84,0,6,48,93,48,0,0,2,1,1,Tier 2
5.47,3,1,69,57,84,4,0,7,5,0,Not Eligible
6.84,3,1,47,42,96,2,0,5,5,0,Not Eligible
6.33,1,7,79,63,52,6,0,9,0,0,Not Eligible
6.22,4,9,44,40,76,3,0,5,4,0,Not Eligible
9.87,0,9,51,45,53,0,1,8,1,1,Tier 1
6.97,3,9,40,58,50,7,1,2,1,0,Not Eligible
9.46,0,4,54,61,64,4,1,3,1,1,Tier 1
8.16,3,9,64,90,70,2,0,6,3,1,Tier 1
8.97,4,1,57,82,97,5,1,7,4,1,Tier 1
7.51,3,4,77,98,53,4,1,10,0,1,Tier 2
7.88,3,7,81,47,96,6,1,8,4,1,Tier 2
7.46,2,5,85,44,46,2,1,3,5,1,Tier 2
5.98,4,2,92,91,63,0,1,7,0,0,Not Eligible
8.61,1,7,65,48,88,7,0,8,3,1,Tier 1
6.4,1,8,79,86,75,4,0,10,5,0,Not Eligible
5.12,4,4,98,60,81,6,0,6,4,0,Not Eligible
8.23,1,1,42,67,81,4,1,4,1,1,Tier 1
5.89,4,1,93,85,86,1,0,6,4,0,Not Eligible
9.7,1,6,61,43,91,3,1,9,5,1,Tier 1
9.77,2,0,65,95,83,4,0,3,3,1,Tier 1
9.57,1,9,58,63,80,6,1,2,3,1,Tier 1
6.85,3,1,83,47,42,2,1,5,3,0,Not Eligible
5.08,4,9,83,91,86,3,0,7,0,0,Not Eligible
9.64,0,3,86,56,83,0,0,3,4,1,Tier 1
7.14,0,0,99,73,65,6,1,5,1,1,Tier 2
9.83,4,3,78,59,86,3,1,4,1,1,Tier 1
9.82,2,9,98,55,65,1,0,7,2,1,Tier 1
9.27,1,4,75,49,40,7,0,2,3,1,Tier 1
6.47,2,8,60,73,54,0,1,7,5,0,Not Eligible
6.93,0,0,80,82,50,4,0,2,1,0,Not Eligible
9.26,4,4,93,49,76,6,0,3,3,1,Tier 1
6.58,4,1,87,69,46,5,0,5,1,0,Not Eligible
5.85,2,8,65,69,51,0,0,7,4,0,Not Eligible
7.78,2,5,52,90,91,6,1,6,2,1,Tier 2
9.68,1,1,75,64,96,7,1,7,3,1,Tier 1
8.48,3,2,63,96,77,7,1,6,0,1,Tier 1
7.85,3,7,80,85,93,0,0,1,0,1,Tier 2
5.49,1,0,65,82,42,1,1,5,1,0,Not Eligible
8.08,3,2,60,80,81,2,1,1,4,1,Tier 1
9.95,0,9,57,46,97,0,0,7,5,1,Tier 1
5.7,3,0,54,86,92,6,0,4,3,0,Not Eligible
7.59,1,7,54,59,65,7,1,5,2,1,Tier 2
9.39,3,0,45,56,93,2,1,1,4,1,Tier 1
8.7,4,4,82,42,69,3,0,8,1,1,Tier 1
8.49,2,3,70,86,71,5,0,4,4,1,Tier 1
8.51,0,6,67,85,75,1,0,3,2,1,Tier 1
6.8,4,4,47,79,84,7,0,1,4,0,Not Eligible
6.47,4,7,68,75,90,4,0,4,3,0,Not Eligible
9.05,1,0,60,65,76,7,1,3,1,1,Tier 1
9.05,2,4,56,49,94,6,1,8,2,1,Tier 1
9.34,2,3,95,73,98,6,1,9,1,1,Tier 1
9.57,0,2,96,53,93,6,1,5,5,1,Tier 1
7.56,1,4,88,47,57,0,0,9,3,1,Tier 2
7.51,0,9,63,94,40,5,0,1,2,1,Tier 2
8.99,3,2,97,66,92,5,1,7,5,1,Tier 1
8.25,4,7,99,49,60,2,0,7,5,1,Tier 1
8.51,0,2,89,96,67,0,1,6,5,1,Tier 1
8.98,4,0,75,89,87,6,1,4,2,1,Tier 1
9.45,1,8,70,54,55,5,1,9,1,1,Tier 1
6.69,3,8,86,76,87,7,1,3,4,0,Not Eligible
6.88,1,5,73,61,67,6,1,1,4,0,Not Eligible
5.47,3,9,41,84,61,6,1,2,5,0,Not Eligible
7.89,3,0,81,89,58,6,0,3,0,1,Tier 2
5.18,4,7,42,70,87,1,0,2,0,0,Not Eligible
7.33,1,1,69,41,40,4,1,6,2,1,Tier 2
7.71,1,8,47,84,70,3,1,7,1,1,Tier 2
6.43,0,7,91,70,91,7,1,5,2,0,Not Eligible
7.95,1,2,46,53,91,3,0,5,1,1,Tier 2
5.15,0,4,51,49,81,2,0,7,3,0,Not Eligible
5.19,2,8,97,69,73,5,0,6,0,0,Not Eligible
9.11,2,0,58,75,85,3,1,8,2,1,Tier 1
6.8,2,8,65,86,79,2,0,9,3,0,Not Eligible
5.64,1,3,67,79,45,4,1,2,4,0,Not Eligible
7.61,1,3,54,54,67,6,0,2,0,1,Tier 2
8.85,0,3,53,53,42,7,1,1,1,1,Tier 1
6.08,3,9,87,70,70,7,1,7,5,0,Not Eligible
8.11,0,8,98,68,55,0,1,4,4,1,Tier 1
5.43,2,5,53,66,56,1,0,9,4,0,Not Eligible
5.26,0,7,42,60,83,4,0,6,3,0,Not Eligible
7.66,3,3,89,48,66,4,0,7,2,1,Tier 2
7.7,1,2,68,59,90,3,1,7,5,1,Tier 2
8.19,0,0,99,74,63,3,1,8,2,1,Tier 1
8.63,2,9,93,97,59,1,0,4,3,1,Tier 1
9.88,2,6,45,54,71,7,0,3,4,1,Tier 1
7.58,1,3,88,63,74,0,1,3,0,1,Tier 2
6.61,0,7,62,88,52,4,1,10,4,0,Not Eligible
8.98,3,2,67,96,87,5,0,8,3,1,Tier 1
6.35,1,0,53,55,82,3,1,3,4,0,Not Eligible
7.19,0,4,53,75,59,7,0,8,5,1,Tier 2
5.39,4,1,59,50,98,4,0,2,4,0,Not Eligible
5.13,2,2,52,96,87,0,1,5,4,0,Not Eligible
9.81,3,5,66,47,91,7,0,5,4,1,Tier 1
9.18,3,2,99,42,41,2,0,7,0,1,Tier 1
8.48,3,2,74,58,43,0,1,5,1,1,Tier 1
7.04,2,5,84,85,66,4,0,9,1,1,Tier 2
5.87,0,4,95,80,99,4,0,3,2,0,Not Eligible
5.78,1,9,41,42,64,1,1,9,1,0,Not Eligible
6.25,0,8,80,75,43,7,1,1,1,0,Not Eligible
7.75,1,0,84,64,99,7,0,3,1,1,Tier 2
8.57,3,2,79,99,71,7,0,4,4,1,Tier 1
8.3,0,2,87,75,56,4,1,6,4,1,Tier 1
6.4,3,5,63,50,40,7,1,10,5,0,Not Eligible
9.77,4,7,68,90,72,7,0,8,0,1,Tier 1
8.69,3,2,42,55,69,3,0,7,4,1,Tier 1
7.77,3,2,84,94,44,5,0,8,4,1,Tier 2
8.06,1,5,43,93,93,1,0,6,1,1,Tier 1
7.1,4,7,89,56,51,4,1,6,0,1,Tier 2
6.24,3,5,41,81,77,7,1,6,0,0,Not Eligible
6.78,3,9,59,63,71,0,1,3,1,0,Not Eligible
8.79,4,2,93,56,77,4,1,10,1,1,Tier 1
5.07,4,3,92,87,96,0,0,4,0,0,Not Eligible
5.58,0,0,54,59,56,0,1,6,3,0,Not Eligible
5.23,1,7,88,61,97,4,0,7,1,0,Not Eligible
5.2,4,3,71,45,93,0,0,3,1,0,Not Eligible
9.28,4,5,81,46,84,5,1,4,0,1,Tier 1
8.52,2,2,40,53,79,2,1,6,3,1,Tier 1
7.37,4,5,77,50,71,1,0,1,5,1,Tier 2
5.49,1,8,74,51,63,4,1,7,3,0,Not Eligible
7.46,3,8,90,85,51,6,0,1,2,1,Tier 2
7.37,3,9,46,44,86,2,0,10,3,1,Tier 2
5.87,3,2,84,44,70,7,1,9,1,0,Not Eligible
7.17,3,2,52,59,58,0,0,10,4,1,Tier 2
6.99,2,3,88,93,68,0,1,9,0,0,Not Eligible
8.08,4,6,40,94,60,1,1,9,5,1,Tier 1
8.18,3,2,53,97,65,2,1,4,1,1,Tier 1
5.23,0,9,68,54,91,2,0,2,5,0,Not Eligible
6.87,3,7,97,65,67,4,1,7,0,0,Not Eligible
8.13,4,7,42,72,56,7,0,4,5,1,Tier 1
7.52,3,5,85,96,48,0,1,5,3,1,Tier 2
9.28,2,3,63,69,60,6,0,1,0,1,Tier 1
8.29,1,4,40,63,89,3,0,10,1,1,Tier 1
5.81,1,1,87,62,99,7,0,6,4,0,Not Eligible
5.35,4,5,49,48,73,6,0,7,1,0,Not Eligible
8.21,1,2,52,42,50,4,0,3,2,1,Tier 1
5.13,1,5,75,97,94,4,1,10,0,0,Not Eligible
7.93,0,4,48,75,59,4,0,2,1,1,Tier 2
9.7,4,1,53,87,88,1,1,10,3,1,Tier 1
7.88,4,4,75,46,92,1,1,7,3,1,Tier 2
6.94,1,4,49,61,89,7,1,1,5,0,Not Eligible
8.22,1,8,79,53,86,4,1,2,1,1,Tier 1
7.29,1,7,62,87,78,5,0,3,5,1,Tier 2
7.73,2,6,74,68,55,3,1,4,2,1,Tier 2
9.71,3,2,94,89,96,2,1,5,0,1,Tier 1
6.93,2,9,46,55,68,2,1,4,2,0,Not Eligible
9.81,4,3,81,87,40,0,1,10,4,1,Tier 1
9.53,0,5,74,73,99,2,1,3,5,1,Tier 1
5.98,3,2,41,49,57,6,1,1,1,0,Not Eligible
5.35,0,8,54,46,98,2,0,7,5,0,Not Eligible
5.5,4,7,48,64,61,3,0,10,2,0,Not Eligible
5.09,4,5,86,66,47,2,0,6,4,0,Not Eligible
5.47,0,3,56,54,46,6,1,2,2,0,Not Eligible
8.42,0,6,78,71,64,3,1,2,4,1,Tier 1
5.36,0,2,91,67,69,1,1,3,3,0,Not Eligible
6.59,4,9,57,48,73,3,0,8,3,0,Not Eligible
9.22,1,7,54,46,83,1,1,8,1,1,Tier 1
5.12,0,0,57,98,87,3,1,10,2,0,Not Eligible
9.07,3,2,63,95,80,4,0,10,3,1,Tier 1
6.41,4,4,62,55,91,6,1,10,5,0,Not Eligible
5.59,2,4,51,65,50,5,0,10,0,0,Not Eligible
8.48,2,9,62,74,54,7,1,8,5,1,Tier 1
8.14,3,1,60,56,74,1,1,7,3,1,Tier 1
9.39,1,9,65,62,62,1,1,2,3,1,Tier 1
8.68,0,7,47,47,92,2,0,1,2,1,Tier 1
9.02,4,4,69,41,84,1,1,6,4,1,Tier 1
6.41,0,6,73,70,60,3,0,8,0,0,Not Eligible
5.89,4,6,41,96,67,4,1,1,0,0,Not Eligible
8.75,2,4,44,91,52,4,0,3,4,1,Tier 1
9.03,0,7,70,97,73,2,1,1,2,1,Tier 1
9.95,3,8,72,98,77,3,0,10,3,1,Tier 1
7.06,1,3,93,96,45,3,0,9,4,1,Tier 2
6.86,3,3,43,71,83,0,1,7,0,0,Not Eligible
8.88,1,7,45,68,43,7,0,8,0,1,Tier 1
6.7,0,0,62,42,44,1,0,9,3,0,Not Eligible
9.65,0,3,84,47,94,2,0,3,3,1,Tier 1
9.29,1,5,58,98,79,4,1,10,1,1,Tier 1
7.14,2,3,82,41,45,6,0,2,5,1,Tier 2
8.75,4,5,84,70,60,5,1,6,4,1,Tier 1
8.77,3,4,47,90,67,0,0,5,3,1,Tier 1
5.52,3,8,78,88,42,7,0,4,1,0,Not Eligible
9.51,3,9,52,76,62,3,0,6,2,1,Tier 1
7.53,0,8,40,59,47,1,0,6,0,1,Tier 2
9.13,3,3,45,68,58,4,1,3,4,1,Tier 1
6.6,4,3,46,56,92,6,1,2,5,0,Not Eligible
9.48,4,7,87,49,50,0,0,9,2,1,Tier 1
6.95,1,9,66,80,89,3,1,8,4,0,Not Eligible
5.05,0,3,54,61,49,4,1,4,4,0,Not Eligible
9.53,4,1,91,45,97,4,0,6,3,1,Tier 1
5.46,2,1,73,82,67,3,0,3,1,0,Not Eligible
6.6,0,0,97,73,59,3,0,8,4,0,Not Eligible
9.75,0,4,96,70,83,2,0,3,5,1,Tier 1
9.75,4,5,62,94,91,4,0,2,2,1,Tier 1
7.87,2,8,87,51,67,3,0,7,5,1,Tier 2
8.16,1,4,88,51,68,5,1,3,4,1,Tier 1
7.24,4,5,63,55,47,7,0,9,5,1,Tier 2
6.47,2,5,54,64,58,6,0,3,5,0,Not Eligible
6.64,0,2,74,61,92,6,0,8,1,0,Not Eligible
8.36,2,3,43,66,87,5,1,2,0,1,Tier 1
8.76,0,0,83,63,98,6,0,9,4,1,Tier 1
8.96,4,3,76,51,60,0,1,1,2,1,Tier 1
8.95,4,0,56,92,57,6,1,3,0,1,Tier 1
5.46,3,4,70,57,48,1,1,2,5,0,Not Eligible
7.47,3,7,77,84,43,6,0,7,0,1,Tier 2
5.29,3,7,49,86,80,5,1,5,3,0,Not Eligible
7.75,4,4,93,55,64,2,0,8,3,1,Tier 2
7.21,1,9,89,43,73,3,0,2,4,1,Tier 2
9.44,4,1,66,51,48,1,0,8,2,1,Tier 1
6.75,2,5,81,88,48,2,0,7,3,0,Not Eligible
5.59,4,0,45,72,57,4,1,5,5,0,Not Eligible
5.71,4,6,95,61,50,1,0,2,1,0,Not Eligible
8.81,0,3,45,57,52,5,1,10,1,1,Tier 1
8.09,0,4,91,93,77,2,1,7,5,1,Tier 1
5.51,0,5,54,87,48,3,0,10,0,0,Not Eligible
5.42,4,0,43,72,55,3,0,4,5,0,Not Eligible
8.5,1,8,96,66,43,6,1,4,0,1,Tier 1
5.36,2,9,87,81,73,2,1,8,0,0,Not Eligible
9.11,2,3,93,58,46,4,0,6,1,1,Tier 1
8.53,1,7,95,87,54,6,0,9,3,1,Tier 1
5.41,1,4,79,53,96,5,0,2,5,0,Not Eligible
5.42,2,7,46,64,77,2,1,5,3,0,Not Eligible
9.93,3,0,90,73,50,0,0,6,4,1,Tier 1
6.87,0,7,97,63,71,2,0,8,2,0,Not Eligible
6.85,0,3,88,77,66,2,0,4,1,0,Not Eligible
9.06,2,1,92,99,69,5,0,7,0,1,Tier 1
9.74,1,5,84,93,91,3,1,7,2,1,Tier 1
9.93,3,1,86,62,56,6,1,4,0,1,Tier 1
8.77,2,4,65,44,75,4,0,1,2,1,Tier 1
6.88,0,1,97,83,58,6,1,3,2,0,Not Eligible
5.42,4,2,70,98,46,2,0,2,3,0,Not Eligible
8.89,1,5,41,75,82,1,1,3,4,1,Tier 1
7.79,4,0,67,93,84,3,1,5,4,1,Tier 2
7.12,2,5,81,63,98,3,0,1,0,1,Tier 2
9.53,0,2,52,75,97,7,0,5,1,1,Tier 1
5.56,3,6,57,44,60,2,0,2,4,0,Not Eligible
7.46,4,1,69,78,67,5,0,4,1,1,Tier 2
